SampleID,Zip_Code,Ward,Time,Lead_ppb
264,48503,7,Forty Five Sec,0.2
264,48503,7,Two Min,0.5
265,48504,6,First Draw,29.13
265,48504,6,Forty Five Sec,11.57
265,48504,6,Two Min,6.388
266,48505,1,First Draw,12.3
266,48505,1,Forty Five Sec,0.5
266,48505,1,Two Min,0.4
267,48504,6,First Draw,3.445
267,48504,6,Forty Five Sec,0.29
267,48504,6,Two Min,0.167
268,48507,9,First Draw,16.49
268,48507,9,Forty Five Sec,12.83
268,48507,9,Two Min,9.018
269,48503,7,First Draw,3.365
269,48503,7,Forty Five Sec,2.45
269,48503,7,Two Min,1.675
270,48503,7,First Draw,1.154
270,48503,7,Forty Five Sec,0.176
270,48503,7,Two Min,0.12
271,48507,9,First Draw,13.53
271,48507,9,Forty Five Sec,21.91
271,48507,9,Two Min,4.675
272,48504,6,First Draw,2.229
272,48504,6,Forty Five Sec,1.573
272,48504,6,Two Min,0.84
273,48503,7,First Draw,28.91
273,48503,7,Forty Five Sec,5.471
273,48503,7,Two Min,3.056
274,48503,7,First Draw,6.601
274,48503,7,Forty Five Sec,1.929
274,48503,7,Two Min,0.417
275,48507,9,First Draw,0.948
275,48507,9,Forty Five Sec,0.27
275,48507,9,Two Min,0.207
276,48505,3,First Draw,3.484
276,48505,3,Forty Five Sec,0.434
276,48505,3,Two Min,0.306
278,48503,7,First Draw,1.888
278,48503,7,Forty Five Sec,0.359
278,48503,7,Two Min,0.322
279,48503,7,First Draw,13.95
279,48503,7,Forty Five Sec,12.2
279,48503,7,Two Min,8.251
280,48504,6,First Draw,6.27
280,48504,6,Forty Five Sec,4.036
280,48504,6,Two Min,1.182
281,48506,7,First Draw,19.12
281,48506,7,Forty Five Sec,22.02
281,48506,7,Two Min,7.968
282,48507,9,First Draw,1.633
282,48507,9,Forty Five Sec,0.465
282,48507,9,Two Min,0.238
283,48503,7,First Draw,1.114
283,48503,7,Forty Five Sec,0.605
283,48503,7,Two Min,0.255
284,48503,7,First Draw,3.9
284,48503,7,Forty Five Sec,0.558
284,48503,7,Two Min,0.504
285,48504,1,First Draw,3.521
285,48504,1,Forty Five Sec,0.45
285,48504,1,Two Min,0.321
286,48507,9,First Draw,3.832
286,48507,9,Forty Five Sec,0.794
286,48507,9,Two Min,0.339
287,48505,3,First Draw,3.243
287,48505,3,Forty Five Sec,0.738
287,48505,3,Two Min,0.27
289,48503,7,First Draw,0.99
289,48503,7,Forty Five Sec,0.25
289,48503,7,Two Min,0.263
290,48507,9,First Draw,1.203
290,48507,9,Forty Five Sec,19.26
290,48507,9,Two Min,1.626
291,48506,3,First Draw,2.261
291,48506,3,Forty Five Sec,0.102
291,48506,3,Two Min,0.407
292,48503,4,First Draw,16.99
292,48503,4,Forty Five Sec,6.32
292,48503,4,Two Min,3.585
293,48503,7,First Draw,3.322
293,48503,7,Forty Five Sec,2.559
293,48503,7,Two Min,1.512
294,48506,4,First Draw,14.33
294,48506,4,Forty Five Sec,1.284
294,48506,4,Two Min,0.323
295,48503,7,First Draw,18.11
295,48503,7,Forty Five Sec,20.21
295,48503,7,Two Min,4.263
296,48503,7,First Draw,12.81
296,48503,7,Forty Five Sec,7.874
296,48503,7,Two Min,1.78
298,48503,7,First Draw,1.083
